Rownum,Predicteddate
1174,20122234.932343476
1175,20131444.53348504
1176,20124029.713835113
1177,20134067.30828801
1178,20148521.553317633
1179,20167174.258253556
1180,20169721.41912864
1181,20150280.94062346
1182,20185361.2174413
1183,20139533.97061125
1184,20092653.878819767
1185,20168926.10062957
1186,20162131.00691705
1187,20080836.69264456
1188,20138883.37250485
1189,20181534.386947505
1190,20126681.716097564
1191,20040756.638253752
1192,20160664.665373906
1193,20177130.517126817
1194,20050361.436489016
1195,20158237.85347834
1196,20128213.90805726
1197,20163070.923236866
1198,20169482.720374323
1199,20129640.130951326
1200,20115290.858032517
1201,20066197.574949995
1202,20151524.46483758
1203,20109473.826704454
1204,20160805.034927994
1205,20032483.146255758
1206,20177015.547418028
1207,20147629.334119312
1208,20111348.03619083
1209,20118035.39671801
1210,20098411.72722979
1211,20176242.40376267
1212,20164366.93015473
1213,20096338.269845776
1214,20124222.43577158
1215,20163388.84298681
1216,20082361.833441958
1217,20099905.41274758
1218,20157623.867087644
1219,20158113.69381625
1220,20077674.85165546
1221,20057128.980695605
1222,20135696.060536187
1223,20092203.234372452
1224,20162101.073725313
1225,20125441.32935197
1226,20134708.5534012
1227,20171439.77721018
1228,20109264.18457222
1229,20137252.89436437
1230,20156689.553428374
1231,20112607.74469901
1232,20131526.835060373
1233,20149219.85500195
1234,20085192.21193147
1235,20027037.997759026
1236,20145037.461589836
1237,20069170.268486843
1238,20137491.406073034
1239,20146853.853022788
